iter	Passed	Remaining
455	943	1125
456	944	1122
457	945	1119
458	948	1117
459	950	1115
460	952	1113
461	953	1110
462	955	1108
463	957	1105
464	958	1103
465	960	1101
466	962	1098
467	964	1096
468	965	1093
469	967	1090
470	968	1087
471	969	1084
472	970	1081
473	971	1078
474	972	1075
475	973	1071
476	974	1068
477	976	1066
478	977	1063
479	979	1060
480	980	1057
481	981	1055
482	982	1052
483	984	1049
484	985	1046
485	986	1043
486	988	1040
487	989	1038
488	991	1035
489	993	1033
490	995	1031
491	996	1029
492	998	1027
493	1000	1024
494	1002	1022
495	1004	1020
496	1006	1018
497	1007	1015
498	1009	1013
499	1011	1011
500	1012	1008
501	1013	1005
502	1015	1003
503	1016	1000
504	1017	997
505	1018	994
506	1020	992
507	1021	989
508	1022	986
509	1023	983
510	1024	980
511	1025	977
512	1027	975
513	1029	973
514	1031	971
515	1033	969
516	1035	966
517	1036	964
518	1037	961
519	1039	959
520	1041	957
521	1042	955
522	1044	952
523	1046	950
524	1048	948
525	1049	946
526	1051	944
527	1053	942
528	1055	939
529	1057	937
530	1059	935
531	1061	933
532	1063	931
533	1065	929
534	1067	927
535	1069	925
536	1071	923
537	1072	921
538	1074	919
539	1076	917
540	1078	915
541	1080	913
542	1082	911
543	1085	909
544	1087	907
545	1089	905
546	1091	903
547	1092	901
548	1094	899
549	1096	897
550	1098	895
551	1100	893
552	1102	891
553	1104	889
554	1106	887
555	1108	884
556	1110	883
557	1112	880
558	1113	878
559	1115	876
560	1117	874
561	1119	872
562	1120	869
563	1122	867
564	1123	865
565	1126	863
566	1127	861
567	1129	859
568	1131	857
569	1133	854
570	1134	852
571	1136	850
572	1138	848
573	1140	846
574	1142	844
575	1144	842
576	1146	840
577	1148	838
578	1150	836
579	1152	834
580	1154	832
581	1156	830
582	1158	828
583	1160	826
584	1162	824
585	1163	822
586	1165	820
587	1167	818
588	1169	816
589	1171	814
590	1173	811
591	1175	809
592	1177	807
593	1179	806
594	1181	803
595	1183	802
596	1185	800
597	1187	798
598	1189	796
599	1191	794
600	1192	791
601	1194	789
602	1196	787
603	1198	785
604	1200	783
605	1202	781
606	1204	779
607	1205	777
608	1207	775
609	1209	773
610	1211	771
611	1212	769
612	1214	767
613	1216	764
614	1218	762
615	1220	760
616	1222	758
617	1223	756
618	1225	754
619	1227	752
620	1228	749
621	1230	747
622	1231	745
623	1233	743
624	1235	741
625	1236	738
626	1238	736
627	1240	734
628	1241	732
629	1243	730
630	1245	728
631	1247	726
632	1249	724
633	1250	722
634	1252	719
635	1254	717
636	1256	715
637	1257	713
638	1259	711
639	1261	709
640	1263	707
641	1264	705
642	1266	702
643	1268	701
644	1270	699
645	1272	697
646	1274	695
647	1276	693
648	1278	691
649	1280	689
650	1282	687
651	1284	685
652	1286	683
653	1288	681
654	1290	679
655	1292	677
656	1294	675
657	1296	673
658	1298	672
659	1300	670
660	1302	667
661	1304	665
662	1305	663
663	1307	661
664	1308	659
665	1310	657
666	1312	655
667	1313	652
668	1315	650
669	1316	648
670	1317	646
671	1318	643
672	1319	641
673	1320	638
674	1322	636
675	1323	634
676	1325	632
677	1326	630
678	1327	627
679	1329	625
680	1331	623
681	1332	621
682	1333	618
683	1334	616
684	1335	614
685	1336	611
686	1337	609
687	1338	607
688	1339	604
689	1340	602
690	1341	600
691	1342	597
692	1343	595
693	1345	593
694	1346	590
695	1347	588
696	1348	586
697	1349	583
698	1350	581
699	1351	579
700	1352	576
701	1353	574
702	1354	572
703	1355	570
704	1356	567
705	1357	565
706	1358	563
707	1359	560
708	1361	558
709	1361	556
710	1362	554
711	1364	551
712	1366	549
713	1368	547
714	1369	546
715	1371	544
716	1373	542
717	1375	540
718	1377	538
719	1379	536
720	1381	534
721	1383	532
722	1385	530
723	1387	528
724	1388	526
725	1390	524
726	1392	522
727	1394	521
728	1396	519
729	1398	517
730	1399	515
731	1401	513
732	1403	511
733	1404	509
734	1406	507
735	1408	505
736	1410	503
737	1412	501
738	1414	499
739	1416	497
740	1418	495
741	1420	494
742	1422	492
743	1425	490
744	1427	488
745	1429	486
746	1432	485
747	1434	483
748	1436	481
749	1438	479
750	1440	477
751	1442	475
752	1444	473
753	1446	471
754	1448	470
755	1450	468
756	1452	466
757	1454	464
758	1456	462
759	1458	460
760	1461	458
761	1463	457
762	1466	455
763	1468	453
764	1470	451
765	1471	449
766	1472	447
767	1474	445
768	1476	443
769	1477	441
770	1478	439
771	1480	437
772	1481	435
773	1482	432
774	1483	430
775	1485	428
776	1487	426
777	1488	424
778	1489	422
779	1490	420
780	1492	418
781	1494	416
782	1495	414
783	1497	412
784	1498	410
785	1499	408
786	1500	406
787	1501	403
788	1502	401
789	1503	399
790	1504	397
791	1505	395
792	1506	393
793	1507	391
794	1508	388
795	1510	387
796	1515	385
797	1516	383
798	1518	382
799	1519	379
800	1522	378
801	1523	376
802	1525	374
803	1526	372
804	1527	370
805	1529	368
806	1530	365
807	1531	363
